player_name,matches_played,role,total_runs,career_average,career_strike_rate,total_wickets,career_economy,total_4s,total_6s,runs_last_7,avg_last_7,strike_rate_last_7,wickets_last_7,economy_last_7,4s_6s_last_7,dot_ball_pct_last_7,player_consistency_score
SW Billings,27,Batsman,503,18.63,126.07,0,0.0,40,20,144,20.57,119.01,0,0.0,17,36.36,44.0
KK Nair,72,Batsman,1631,22.65,128.73,0,0.0,177,47,151,21.57,157.29,0,0.0,25,31.25,47.99
SV Samson,169,Batsman,4643,27.47,135.44,0,0.0,375,216,224,32.0,141.77,0,0.0,33,34.18,60.92
RR Pant,118,Batsman,3403,28.84,141.2,0,0.0,306,159,106,15.14,98.15,0,0.0,13,45.37,30.55
B Stanlake,6,Bowler,5,0.83,250.0,7,8.0,1,0,5,0.83,250.0,7,8.0,1,42.11,33.97
Basil Thampi,25,Bowler,32,1.28,86.49,22,9.6,1,1,32,2.46,86.49,6,9.84,2,33.16,20.75
Tejas Baroka,1,All-rounder,0,0.0,0.0,0,9.43,0,0,0,0.0,0.0,0,9.43,0,28.57,9.86
RV Uthappa,197,Batsman,4954,25.15,126.15,0,0.0,481,182,124,17.71,113.76,0,0.0,17,44.04,36.09
MK Pandey,159,Batsman,3878,24.39,117.44,0,0.0,337,112,124,17.71,108.77,0,0.0,12,33.33,34.82
SA Yadav,145,Batsman,3967,27.36,144.1,0,8.0,423,149,296,37.0,169.14,0,0.0,49,30.86,79.22
SL Malinga,122,Bowler,88,0.72,85.44,170,7.03,6,5,16,1.14,69.57,8,10.17,2,33.7,26.81
Harbhajan Singh,163,Bowler,833,5.11,130.97,150,7.04,79,42,36,3.0,73.47,6,8.5,4,40.93,28.47
AS Rajpoot,29,Bowler,26,0.9,63.41,24,8.93,2,1,26,2.17,63.41,2,10.77,3,35.16,18.56
AB de Villiers,170,Batsman,5181,30.48,148.58,0,0.0,414,253,106,15.14,124.71,0,0.0,13,37.65,39.78
