player_name,matches_played,role,total_runs,career_average,career_strike_rate,total_wickets,career_economy,total_4s,total_6s,runs_last_7,avg_last_7,strike_rate_last_7,wickets_last_7,economy_last_7,4s_6s_last_7,dot_ball_pct_last_7,player_consistency_score
N Jagadeesan,10,Batsman,162,16.2,104.52,0,0.0,21,2,90,12.86,102.27,0,0.0,15,51.14,29.91
JR Hazlewood,36,Bowler,19,0.53,63.33,51,8.08,1,0,19,1.46,63.33,11,9.2,1,41.21,33.63
CJ Green,1,All-rounder,0,0.0,0.0,0,8.47,0,0,0,0.0,0.0,0,8.47,0,35.29,11.82
MR Marsh,50,All-rounder,1009,20.18,133.11,37,8.12,81,56,272,19.43,144.68,10,9.02,39,27.94,46.38
P Dubey,4,All-rounder,23,5.75,69.7,1,8.15,2,0,23,5.75,69.7,1,8.15,2,36.0,25.2
Monu Kumar,1,All-rounder,0,0.0,0.0,0,7.5,0,0,0,0.0,0.0,0,7.5,0,25.0,11.25
M Jansen,30,Bowler,137,4.57,103.79,28,9.02,7,6,88,11.0,117.33,6,9.07,8,31.0,23.37
KA Jamieson,9,Bowler,65,7.22,118.18,9,9.08,5,3,65,7.22,118.18,7,9.42,8,36.32,27.82
RM Patidar,32,Batsman,1021,31.91,147.97,0,0.0,70,64,188,26.86,134.29,0,0.0,23,27.14,50.38
M Shahrukh Khan,42,All-rounder,626,14.9,137.28,0,8.0,39,43,112,12.44,160.0,0,8.0,16,24.39,31.66
JA Richardson,4,Bowler,17,4.25,62.96,3,10.34,2,0,17,4.25,62.96,3,10.34,2,38.02,24.12
C Sakariya,20,Bowler,20,1.0,64.52,20,8.13,3,0,20,1.82,64.52,7,8.49,3,34.0,26.59
RP Meredith,18,Bowler,0,0.0,0.0,19,8.98,0,0,0,0.0,0.0,8,9.53,0,33.33,27.19
Lalit Yadav,25,All-rounder,305,12.2,101.33,10,8.78,27,7,38,4.75,77.55,2,10.26,4,32.05,18.15
Virat Singh,2,All-rounder,15,7.5,57.69,0,0.0,1,0,15,7.5,57.69,0,0.0,1,50.0,10.49
LI Meriwala,1,Bowler,0,0.0,0.0,1,10.11,0,0,0,0.0,0.0,1,10.11,0,31.58,27.47
Jalaj S Saxena,1,All-rounder,0,0.0,0.0,0,9.0,0,0,0,0.0,0.0,0,9.0,0,27.78,10.17
FA Allen,5,All-rounder,14,2.8,73.68,2,8.97,1,0,14,2.8,73.68,2,8.97,1,31.82,20.12
KW Richardson,15,Bowler,36,2.4,92.31,19,8.33,2,1,36,4.0,92.31,10,9.37,3,39.06,31.35
DJ Malan,1,Batsman,26,26.0,100.0,0,0.0,1,1,26,26.0,100.0,0,0.0,2,34.62,49.8
KS Bharat,8,Batsman,199,24.88,118.45,0,0.0,12,8,183,26.14,122.82,0,0.0,19,30.87,45.01
PWH de Silva,33,Bowler,81,2.45,88.04,45,8.39,7,1,40,3.64,100.0,10,9.17,3,26.4,29.04
VR Iyer,55,Batsman,1461,26.56,132.58,3,10.36,135,65,187,13.36,144.96,1,12.69,25,23.2,51.74
Umran Malik,26,Bowler,23,0.88,143.75,29,9.08,1,2,23,1.92,143.75,3,10.96,3,35.09,18.43
Akash Singh,7,Bowler,0,0.0,0.0,5,9.66,0,0,0,0.0,0.0,5,9.66,0,37.59,24.44
GD Phillips,8,All-rounder,65,8.12,118.18,2,7.74,3,6,51,6.38,108.51,2,7.74,7,50.0,23.24
GHS Garton,5,Bowler,2,0.4,50.0,3,8.41,0,0,2,0.4,50.0,3,8.41,0,32.67,24.81
AK Markram,52,Batsman,1321,25.4,131.05,6,8.46,101,50,310,31.0,151.96,4,8.21,41,26.43,75.64
K Yadav,3,Bowler,0,0.0,0.0,2,9.44,0,0,0,0.0,0.0,2,9.44,0,29.31,20.83
T Shamsi,5,Bowler,2,0.4,50.0,3,9.25,0,0,2,0.4,50.0,3,9.25,0,24.19,20.78
NT Ellis,17,Bowler,19,1.12,73.08,19,8.51,0,1,19,1.58,73.08,8,8.18,1,29.44,28.54
RV Patel,7,All-rounder,80,11.43,105.26,0,6.6,6,2,80,11.43,105.26,0,6.6,8,31.25,28.04
TL Seifert,3,All-rounder,26,8.67,100.0,0,0.0,4,0,26,8.67,100.0,0,0.0,4,42.31,12.3
Anmolpreet Singh,9,Batsman,139,15.44,118.8,0,0.0,19,3,115,16.43,122.34,0,0.0,19,43.62,37.92
Anuj Rawat,21,Batsman,318,15.14,115.22,0,0.0,26,14,150,21.43,140.19,0,0.0,20,28.04,47.44
IC Porel,1,Bowler,0,0.0,0.0,1,9.69,0,0,0,0.0,0.0,1,9.69,0,26.92,26.69
AU Rashid,3,Bowler,22,7.33,129.41,2,9.1,2,1,22,7.33,129.41,2,9.1,3,35.06,25.19
TH David,41,Batsman,824,20.1,161.25,0,0.0,51,59,165,23.57,170.1,0,0.0,26,36.08,54.6
DP Conway,25,Batsman,1018,40.72,136.28,0,0.0,109,32,298,42.57,134.84,0,0.0,38,23.98,69.08
Tilak Varma,45,Batsman,1389,30.87,138.48,0,7.3,109,68,233,21.18,134.68,0,7.3,29,30.1,59.54
R Powell,22,Batsman,360,16.36,141.73,1,10.0,21,28,103,11.44,145.07,1,10.0,16,35.87,42.43
OF Smith,6,Bowler,51,8.5,102.0,6,11.31,1,5,51,8.5,102.0,6,11.31,6,40.0,25.8
PBB Rajapaksa,13,Batsman,277,21.31,137.81,0,0.0,22,15,103,14.71,113.19,0,0.0,13,38.46,32.46
RA Bawa,2,All-rounder,11,5.5,78.57,0,0.0,1,0,11,5.5,78.57,0,0.0,1,50.0,8.59
Akash Deep,12,Bowler,19,1.58,146.15,10,11.21,2,1,19,2.38,146.15,5,11.95,3,29.45,22.95
A Badoni,43,Batsman,851,19.79,127.4,2,8.88,66,31,213,17.75,134.81,2,8.88,27,27.32,57.98
PVD Chameera,14,Bowler,43,3.07,134.38,10,8.9,3,3,43,3.91,134.38,3,10.27,6,33.7,20.28
MS Wade,14,All-rounder,183,13.07,98.92,0,0.0,23,2,105,15.0,114.13,0,0.0,17,44.57,18.83
A Manohar,19,All-rounder,280,14.74,121.21,0,0.0,23,13,60,8.57,86.96,0,0.0,6,52.17,10.81
Mohsin Khan,23,Bowler,25,1.09,92.59,27,8.26,2,1,25,2.08,92.59,5,10.26,3,33.86,23.19
R Shepherd,12,All-rounder,115,9.58,169.12,5,11.57,7,10,83,8.3,207.5,2,12.32,14,21.48,29.96
D Pretorius,7,Bowler,44,6.29,157.14,6,8.75,3,3,44,6.29,157.14,6,8.75,6,26.8,24.32
Mukesh Choudhary,16,Bowler,6,0.38,100.0,17,9.4,1,0,6,0.75,100.0,6,9.83,1,40.44,23.78
JM Sharma,43,Batsman,851,19.79,145.22,0,0.0,65,52,121,17.29,142.35,0,0.0,19,38.82,42.8
VG Arora,28,Bowler,9,0.32,37.5,30,8.65,0,0,8,0.62,36.36,10,8.29,0,38.95,33.95
D Brevis,11,Batsman,272,24.73,135.32,1,16.0,18,20,155,19.38,118.32,1,16.0,17,42.54,42.01
DG Nalkande,6,Bowler,12,2.0,100.0,6,10.11,0,1,12,2.0,100.0,6,10.11,1,26.73,23.85
B Sai Sudharsan,33,Batsman,1451,43.97,136.63,0,0.0,137,47,343,49.0,138.31,0,0.0,46,25.0,78.56
M Theekshana,35,Bowler,15,0.43,60.0,32,8.03,0,1,15,1.67,60.0,5,8.67,1,30.16,23.98
Ramandeep Singh,19,All-rounder,200,10.53,150.38,6,8.53,9,15,72,6.55,171.43,6,8.53,9,24.14,32.84
HE van der Dussen,3,All-rounder,22,7.33,88.0,0,0.0,2,0,22,7.33,88.0,0,0.0,2,36.0,12.88
KR Sen,12,Bowler,0,0.0,0.0,14,9.32,0,0,0,0.0,0.0,6,9.73,0,29.45,22.16
SS Prabhudessai,10,All-rounder,126,12.6,111.5,0,0.0,11,4,76,10.86,95.0,0,0.0,7,45.0,13.67
Yash Dayal,37,Bowler,0,0.0,0.0,36,9.12,0,0,0,0.0,0.0,5,9.72,0,30.22,23.17
Aman Hakim Khan,10,All-rounder,115,11.5,105.5,0,13.0,8,6,98,12.25,105.38,0,13.0,12,41.41,22.72
Shashank Singh,27,Batsman,581,21.52,145.25,1,10.06,43,31,158,15.8,123.44,1,10.06,16,24.53,42.83
OC McCoy,8,Bowler,8,1.0,160.0,11,8.5,0,1,8,1.14,160.0,9,8.34,1,28.3,27.75
HR Shokeen,13,All-rounder,66,5.08,98.51,5,9.01,9,0,66,6.6,98.51,3,9.19,9,36.67,26.96
R Dhawan,37,Bowler,210,5.68,111.7,25,7.98,18,7,68,6.18,119.3,3,9.65,9,37.01,20.5
DJ Mitchell,15,Batsman,351,23.4,128.1,1,11.41,28,10,183,18.3,156.41,1,11.41,26,19.64,53.36
B Indrajith,3,All-rounder,21,7.0,67.74,0,0.0,2,0,21,7.0,67.74,0,0.0,2,54.84,9.14
Harshit Rana,28,Bowler,25,0.89,73.53,36,8.89,3,0,25,2.5,75.76,9,8.96,3,43.35,30.31
K Kartikeya,15,Bowler,10,0.67,71.43,12,8.42,1,0,10,1.25,71.43,5,9.28,1,27.82,23.99
Simarjeet Singh,14,Bowler,10,0.71,66.67,11,9.63,0,0,10,1.0,66.67,5,12.05,0,31.43,21.32
SA Abbott,3,All-rounder,22,7.33,122.22,1,10.58,1,2,22,7.33,122.22,1,10.58,3,28.57,23.54
Fazalhaq Farooqi,10,Bowler,5,0.5,33.33,6,9.31,0,0,5,0.62,33.33,4,9.63,0,34.57,21.28
KS Sharma,3,All-rounder,16,5.33,64.0,0,0.0,1,0,16,5.33,64.0,0,0.0,1,48.0,9.81
R Sai Kishore,18,Bowler,14,0.78,200.0,25,8.05,0,2,14,1.75,200.0,9,8.02,2,25.76,24.63
T Stubbs,25,Batsman,594,23.76,166.85,4,11.19,40,35,155,15.5,164.89,4,11.19,19,19.85,52.01
PH Solanki,2,Bowler,0,0.0,0.0,2,6.5,0,0,0,0.0,0.0,2,6.5,0,30.56,29.55
M Pathirana,27,Bowler,0,0.0,0.0,41,7.76,0,0,0,0.0,0.0,7,8.91,0,27.17,24.76
R Sanjay Yadav,1,All-rounder,0,0.0,0.0,0,9.86,0,0,0,0.0,0.0,0,9.86,0,50.0,16.57
A Tomar,1,All-rounder,4,4.0,50.0,0,0.0,1,0,4,4.0,50.0,0,0.0,1,87.5,11.35
PN Mankad,5,Batsman,97,19.4,129.33,0,0.0,13,2,97,19.4,129.33,0,0.0,15,37.33,40.92
J Little,11,Bowler,0,0.0,0.0,11,8.67,0,0,0,0.0,0.0,8,8.73,0,32.09,28.06
RS Hangargekar,2,Bowler,0,0.0,0.0,3,8.37,0,0,0,0.0,0.0,3,8.37,0,32.56,33.9
Sikandar Raza,9,Batsman,182,20.22,127.27,3,9.95,12,8,165,18.33,128.91,3,9.95,18,30.09,46.2
Rahmanullah Gurbaz,15,Batsman,291,19.4,123.31,0,0.0,24,19,93,13.29,102.2,0,0.0,14,48.35,29.96
KR Mayers,13,Batsman,379,29.15,137.32,0,7.7,38,22,160,16.0,125.98,0,7.7,28,43.93,46.65
Mukesh Kumar,28,Bowler,10,0.36,50.0,33,9.74,0,0,10,0.83,50.0,8,8.73,0,31.03,29.5
RR Rossouw,22,Batsman,473,21.5,147.35,0,0.0,45,25,210,30.0,176.47,0,0.0,36,30.25,63.96
HC Brook,11,Batsman,190,17.27,119.5,0,0.0,23,4,61,8.71,98.39,0,0.0,8,45.16,24.02
NA Saini,1,All-rounder,0,0.0,0.0,0,14.0,0,0,0,0.0,0.0,0,14.0,0,13.33,7.0
C Green,29,All-rounder,707,24.38,149.79,16,8.77,62,32,187,23.38,154.55,6,7.87,24,26.83,41.11
N Wadhera,23,Batsman,539,23.43,137.15,0,7.76,46,30,189,23.62,143.18,0,7.76,26,32.21,53.35
Arshad Khan,14,Bowler,97,6.93,142.65,9,10.63,5,6,97,8.82,142.65,4,9.5,11,31.82,21.23
RJW Topley,5,Bowler,3,0.6,50.0,5,10.21,0,0,3,0.6,50.0,5,10.21,0,36.28,25.42
MG Bracewell,5,Bowler,58,11.6,118.37,6,8.64,6,1,58,11.6,118.37,6,8.64,7,33.04,29.68
Yash Thakur,21,Bowler,0,0.0,0.0,25,9.88,0,0,0,0.0,0.0,5,11.7,0,24.07,21.09
Abishek Porel,24,Batsman,585,24.38,145.89,0,0.0,60,22,225,32.14,145.16,0,0.0,30,23.87,61.54
Dhruv Jurel,31,Batsman,585,18.87,146.25,0,0.0,46,30,135,19.29,137.76,0,0.0,15,26.53,42.19
Suyash Sharma,21,Bowler,0,0.0,0.0,14,8.54,0,0,0,0.0,0.0,3,7.93,0,34.55,26.43
SSB Magala,2,All-rounder,0,0.0,0.0,1,8.43,0,0,0,0.0,0.0,1,8.43,0,13.51,9.69
MW Short,6,Batsman,117,19.5,118.18,0,6.0,15,4,117,19.5,118.18,0,6.0,19,43.55,42.76
Mohit Rathee,1,All-rounder,1,1.0,50.0,0,14.5,0,0,1,1.0,50.0,0,14.5,0,28.57,17.9
WD Parnell,33,Bowler,65,1.97,75.58,35,7.66,4,1,17,1.31,58.62,9,9.06,0,35.48,29.57
YV Dhull,3,All-rounder,16,5.33,69.57,0,0.0,1,0,16,5.33,69.57,0,0.0,1,43.48,7.68
Vijaykumar Vyshak,12,Bowler,14,1.17,107.69,13,9.56,0,1,14,1.56,107.69,7,9.36,1,27.33,24.29
Yudhvir Singh,6,Bowler,22,3.67,137.5,4,9.78,1,2,22,3.67,137.5,4,9.78,3,39.05,24.13
Atharva Taide,9,Batsman,247,27.44,139.55,0,24.0,27,8,243,34.71,141.28,0,24.0,34,28.9,63.06
Harpreet Singh,8,Batsman,123,15.38,103.36,0,0.0,10,3,122,17.43,103.39,0,0.0,13,38.98,37.12
Arjun Tendulkar,5,Bowler,13,2.6,144.44,3,8.46,0,1,13,2.6,144.44,3,8.46,1,34.78,25.49
D Jansen,1,Bowler,0,0.0,0.0,1,11.36,0,0,0,0.0,0.0,1,11.36,0,21.43,24.43
Noor Ahmad,32,Bowler,16,0.5,51.61,38,7.85,2,0,15,1.25,53.57,7,8.22,2,36.84,26.58
Naveen-ul-Haq,17,Bowler,18,1.06,69.23,25,8.87,2,0,18,1.8,69.23,10,10.15,2,30.22,25.78
Liton Das,1,All-rounder,4,4.0,100.0,0,0.0,1,0,4,4.0,100.0,0,0.0,1,75.0,15.1
PD Salt,30,Batsman,892,29.73,167.35,0,0.0,104,47,151,21.57,152.53,0,0.0,26,39.39,47.59
Mayank Dagar,8,All-rounder,0,0.0,0.0,2,8.91,0,0,0,0.0,0.0,2,9.2,0,32.23,14.5
Abdul Basith,1,All-rounder,1,1.0,100.0,0,0.0,0,0,1,1.0,100.0,0,0.0,0,0.0,12.9
D Wiese,18,Bowler,148,8.22,140.95,16,8.74,12,7,59,5.9,137.21,6,9.43,6,21.81,22.61
Gurnoor Brar,1,All-rounder,0,0.0,0.0,0,12.0,0,0,0,0.0,0.0,0,12.0,0,33.33,10.0
AJ Hosein,1,All-rounder,16,16.0,145.45,1,10.25,1,1,16,16.0,145.45,1,10.25,2,22.86,36.43
Akash Madhwal,13,Bowler,4,0.31,80.0,19,9.27,0,0,4,0.57,80.0,11,9.65,0,33.33,29.27
R Goyal,1,All-rounder,0,0.0,0.0,0,8.5,0,0,0,0.0,0.0,0,8.5,0,25.0,10.25
Vivrant Sharma,2,Batsman,69,34.5,140.82,0,10.57,9,2,69,34.5,140.82,0,10.57,11,27.14,91.12
JE Root,2,All-rounder,10,5.0,66.67,0,7.5,1,0,10,5.0,66.67,0,7.5,1,33.33,23.75
MD Shanaka,3,All-rounder,26,8.67,100.0,0,0.0,2,1,26,8.67,100.0,0,0.0,3,46.15,12.96
Sanvir Singh,5,All-rounder,25,5.0,113.64,0,0.0,2,1,25,5.0,113.64,0,0.0,3,31.82,13.29
Nithish Kumar Reddy,21,Batsman,455,21.67,125.69,3,10.58,29,23,122,8.71,98.39,3,10.62,11,29.38,35.17
H Sharma,2,All-rounder,0,0.0,0.0,0,12.4,0,0,0,0.0,0.0,0,12.4,0,6.67,5.29
R Ravindra,18,Batsman,413,22.94,138.59,0,3.5,40,16,126,14.0,120.0,0,3.5,16,34.19,37.28
SD Hope,9,Batsman,183,20.33,146.4,0,0.0,12,12,139,19.86,154.44,0,0.0,19,36.67,46.8
Sumit Kumar,3,All-rounder,18,6.0,69.23,0,10.36,2,1,18,6.0,69.23,0,10.36,3,37.5,18.41
MA Starc,47,Bowler,110,2.34,93.22,62,8.35,11,0,8,0.73,47.06,3,9.97,0,32.7,19.74
N Burger,5,Bowler,0,0.0,0.0,7,8.69,0,0,0,0.0,0.0,7,8.69,0,43.81,35.13
Azmatullah Omarzai,8,All-rounder,58,7.25,118.37,4,9.36,4,3,58,7.25,118.37,2,9.56,7,37.79,28.28
L Wood,2,All-rounder,9,4.5,300.0,1,14.84,0,1,9,4.5,300.0,1,14.84,1,19.51,33.77
SZ Mulani,2,All-rounder,1,0.5,100.0,0,10.36,0,0,1,0.5,100.0,0,10.36,0,20.59,19.5
Naman Dhir,13,Batsman,270,20.77,170.89,0,8.55,25,16,192,21.33,184.62,0,8.55,28,20.53,60.25
G Coetzee,10,Bowler,14,1.4,63.64,13,9.92,0,1,14,1.56,63.64,10,9.2,1,41.28,33.72
SH Johnson,9,Bowler,8,0.89,72.73,5,10.08,1,0,8,1.0,72.73,2,10.1,1,36.05,20.5
Sameer Rizvi,7,All-rounder,75,10.71,117.19,0,0.0,6,3,75,10.71,117.19,0,0.0,9,40.62,15.51
KT Maphaka,2,All-rounder,0,0.0,0.0,1,13.85,0,0,0,0.0,0.0,1,13.85,0,28.21,10.62
M Siddharth,5,Bowler,0,0.0,0.0,3,8.32,0,0,0,0.0,0.0,3,8.32,0,32.67,26.07
MP Yadav,4,Bowler,0,0.0,0.0,7,6.95,0,0,0,0.0,0.0,7,6.95,0,51.32,40.7
SB Dubey,8,All-rounder,92,11.5,161.4,0,0.0,6,7,84,12.0,164.71,0,0.0,12,31.37,18.87
A Raghuvanshi,14,Batsman,360,25.71,148.76,0,0.0,37,14,197,28.14,148.12,0,0.0,27,25.56,57.91
Ashutosh Sharma,14,Batsman,325,23.21,160.1,0,0.0,21,23,155,22.14,155.0,0,0.0,21,18.0,47.46
Saurav Chauhan,3,All-rounder,18,6.0,112.5,0,0.0,1,1,18,6.0,112.5,0,0.0,2,37.5,12.97
Kumar Kushagra,3,All-rounder,3,1.0,42.86,0,0.0,0,0,3,1.0,42.86,0,0.0,0,71.43,4.53
BR Sharath,1,All-rounder,2,2.0,40.0,0,0.0,0,0,2,2.0,40.0,0,0.0,0,60.0,8.8
KA Maharaj,2,Bowler,1,0.5,50.0,2,6.5,0,0,1,0.5,50.0,2,6.5,0,31.58,32.44
WG Jacks,16,Batsman,343,21.44,149.78,5,8.57,25,23,113,10.27,117.71,4,7.7,14,35.03,37.77
J Fraser-McGurk,15,Batsman,385,25.67,189.66,0,0.0,39,30,55,7.86,96.49,0,0.0,9,56.14,23.33
Tanush Kotian,1,Batsman,24,24.0,75.0,0,0.0,3,0,24,24.0,75.0,0,0.0,3,53.12,46.45
Arshad Khan (2),1,All-rounder,5,5.0,125.0,0,11.54,1,0,5,5.0,125.0,0,11.54,1,35.29,26.99
S Joseph,1,All-rounder,0,0.0,0.0,0,10.2,0,0,0,0.0,0.0,0,10.2,0,30.0,9.5
N Thushara,7,Bowler,0,0.0,0.0,8,9.03,0,0,0,0.0,0.0,8,9.03,0,28.49,27.47
LB Williams,2,All-rounder,1,0.5,50.0,1,10.57,0,0,1,0.5,50.0,1,10.57,0,29.55,19.79
AA Kulkarni,2,All-rounder,9,4.5,112.5,0,0.0,2,0,9,4.5,112.5,0,0.0,2,62.5,11.24
RJ Gleeson,2,All-rounder,2,1.0,100.0,1,8.47,0,0,2,1.0,100.0,1,8.47,0,35.85,26.82
MJ Suthar,1,All-rounder,1,1.0,50.0,0,13.0,0,0,1,1.0,50.0,0,13.0,0,35.71,19.15
A Kamboj,6,Bowler,7,1.17,70.0,5,8.72,0,0,7,1.17,70.0,5,8.72,0,37.8,27.68
Gulbadin Naib,2,All-rounder,19,9.5,126.67,0,12.0,1,1,19,9.5,126.67,0,12.0,2,23.81,31.6
D Ferreira,3,All-rounder,9,3.0,64.29,0,0.0,0,0,9,3.0,64.29,0,0.0,0,42.86,6.31
V Viyaskanth,3,All-rounder,7,2.33,140.0,1,9.0,0,0,7,2.33,140.0,1,9.0,0,24.62,28.6
V Kaverappa,1,Bowler,0,0.0,0.0,2,9.0,0,0,0,0.0,0.0,2,9.0,0,45.83,41.75
T Kohler-Cadmore,3,Batsman,48,16.0,88.89,0,0.0,7,1,48,16.0,88.89,0,0.0,8,59.26,38.77
Shivam Singh,1,All-rounder,2,2.0,66.67,0,0.0,0,0,2,2.0,66.67,0,0.0,0,33.33,10.8
Aniket Verma,8,Batsman,190,23.75,153.23,0,0.0,9,16,183,26.14,151.24,0,0.0,24,33.88,52.31
RD Rickelton,9,Batsman,215,23.89,140.52,0,0.0,29,8,196,28.0,145.19,0,0.0,33,38.52,57.44
R Minz,2,All-rounder,6,3.0,37.5,0,0.0,0,0,6,3.0,37.5,0,0.0,0,62.5,9.01
PVSN Raju,2,All-rounder,1,0.5,100.0,1,11.17,0,0,1,0.5,100.0,1,11.17,0,10.0,21.44
V Puthur,5,Bowler,0,0.0,0.0,6,8.96,0,0,0,0.0,0.0,6,8.96,0,32.88,28.57
V Nigam,8,Bowler,54,6.75,186.21,7,9.07,6,3,54,6.75,186.21,6,8.26,9,31.82,27.74
DS Rathi,9,Bowler,0,0.0,0.0,9,7.24,0,0,0,0.0,0.0,6,6.87,0,30.81,30.98
Prince Yadav,4,All-rounder,0,0.0,0.0,1,8.87,0,0,0,0.0,0.0,1,8.87,0,28.72,10.36
Priyansh Arya,9,Batsman,323,35.89,193.41,0,0.0,32,22,268,38.29,200.0,0,0.0,44,29.85,74.58
PWA Mulder,1,All-rounder,9,9.0,75.0,0,16.0,1,0,9,9.0,75.0,0,16.0,1,33.33,22.73
Zeeshan Ansari,7,Bowler,0,0.0,0.0,5,9.41,0,0,0,0.0,0.0,5,9.41,0,24.18,23.32
J Overton,3,All-rounder,15,5.0,214.29,0,12.29,1,1,15,5.0,214.29,0,12.29,2,20.83,29.17
Ashwani Kumar,3,Bowler,0,0.0,0.0,6,12.23,0,0,0,0.0,0.0,6,12.23,0,28.85,30.04
PHKD Mendis,3,All-rounder,60,20.0,120.0,2,8.4,4,2,60,20.0,120.0,2,8.4,6,32.5,32.92
Suryansh Shedge,2,All-rounder,6,3.0,75.0,0,0.0,0,0,6,3.0,75.0,0,0.0,0,25.0,10.16
E Malinga,3,Bowler,0,0.0,0.0,5,9.86,0,0,0,0.0,0.0,5,9.86,0,25.71,30.43
SK Rasheed,3,Batsman,46,15.33,109.52,0,0.0,7,0,46,15.33,109.52,0,0.0,7,45.24,35.98
JP Inglis,4,All-rounder,56,14.0,119.15,0,0.0,6,1,56,14.0,119.15,0,0.0,7,34.04,17.81
XC Bartlett,3,Bowler,11,3.67,73.33,2,9.33,1,0,11,3.67,73.33,2,9.33,1,46.38,29.97
MS Bhandage,1,All-rounder,1,1.0,25.0,0,0.0,0,0,1,1.0,25.0,0,0.0,0,75.0,7.28
V Suryavanshi,2,Batsman,50,25.0,151.52,0,0.0,2,5,50,25.0,151.52,0,0.0,7,42.42,56.13
A Mhatre,2,Batsman,62,31.0,172.22,0,0.0,10,2,62,31.0,172.22,0,0.0,12,33.33,72.31
SC Ganguly,57,Batsman,1349,23.67,101.73,10,7.93,137,42,141,11.75,89.24,0,0.0,17,41.14,37.11
RT Ponting,9,All-rounder,91,10.11,70.54,0,0.0,5,2,71,10.14,65.74,0,0.0,5,50.0,9.87
DJ Hussey,61,Batsman,1322,21.67,120.07,8,9.01,90,60,152,12.67,117.83,0,0.0,18,35.66,42.25
Mohammad Hafeez,8,All-rounder,64,8.0,76.19,2,6.76,7,2,59,8.43,72.84,2,6.76,8,46.53,24.52
AA Noffke,1,Bowler,9,9.0,75.0,1,9.84,1,0,9,9.0,75.0,1,9.84,1,27.03,25.52
JH Kallis,98,All-rounder,2427,24.77,105.94,65,7.83,255,44,151,18.88,115.27,4,8.79,17,34.41,31.31
SB Joshi,4,All-rounder,6,1.5,37.5,1,8.95,0,0,6,1.5,37.5,1,8.95,0,36.62,18.05
CL White,45,Batsman,971,21.58,125.45,1,11.22,76,38,104,8.0,114.29,0,0.0,14,39.56,33.03
R Dravid,82,Batsman,2174,26.51,113.35,0,0.0,269,28,163,23.29,100.0,0,0.0,24,50.31,42.96
W Jaffer,8,Batsman,130,16.25,100.78,0,0.0,14,3,124,17.71,111.71,0,0.0,17,39.64,35.79
MV Boucher,23,Batsman,394,17.13,123.9,0,0.0,32,13,39,5.57,108.33,0,0.0,4,36.11,25.64
B Akhil,15,All-rounder,76,5.07,133.33,6,7.65,5,5,68,6.18,158.14,4,7.36,10,32.82,30.45
AB Agarkar,42,Bowler,179,4.26,111.87,29,8.59,13,5,59,4.92,111.32,1,9.09,5,22.16,16.29
LR Shukla,43,All-rounder,405,9.42,113.13,15,8.43,33,16,61,6.1,89.71,2,8.68,7,40.28,21.62
ML Hayden,32,Batsman,1107,34.59,131.94,0,0.0,121,44,85,12.14,78.7,0,0.0,11,53.7,25.16
MEK Hussey,58,Batsman,1977,34.09,119.96,0,0.0,198,52,194,27.71,128.48,0,0.0,25,33.11,50.9
JDP Oram,15,Bowler,106,7.07,96.36,9,8.9,6,5,39,4.33,62.9,3,9.77,2,40.71,20.51
S Badrinath,65,Batsman,1441,22.17,115.74,0,0.0,154,28,124,17.71,100.81,0,0.0,11,33.33,34.0
B Lee,38,Bowler,124,3.26,121.57,25,7.38,8,8,66,5.5,173.68,6,8.66,9,36.79,28.68
S Sreesanth,44,Bowler,34,0.77,59.65,40,7.74,6,0,14,1.17,70.0,5,7.54,3,51.28,31.83
JR Hopes,20,All-rounder,417,20.85,132.8,14,9.14,49,11,183,22.88,115.82,5,8.66,23,29.97,35.84
K Goel,16,All-rounder,218,13.62,91.21,0,8.42,17,9,85,10.62,77.27,0,8.42,8,41.24,23.11
WA Mota,10,All-rounder,56,5.6,73.68,4,7.84,2,0,55,5.5,73.33,4,7.84,2,34.0,20.21
KC Sangakkara,68,Batsman,1687,24.81,118.47,0,0.0,195,27,89,12.71,85.58,0,0.0,10,45.19,27.91
SM Katich,11,Batsman,241,21.91,126.18,0,0.0,26,8,108,15.43,127.06,0,0.0,17,45.88,36.46
M Muralitharan,66,Bowler,20,0.3,66.67,64,6.7,1,0,20,1.43,76.92,4,8.66,1,34.52,24.43
P Amarnath,6,Bowler,0,0.0,0.0,7,10.95,0,0,0,0.0,0.0,7,10.95,0,21.97,24.0
Joginder Sharma,16,Bowler,36,2.25,120.0,12,9.29,1,2,36,3.6,120.0,3,10.33,3,26.67,18.99
T Kohli,3,All-rounder,11,3.67,55.0,0,0.0,0,1,11,3.67,55.0,0,0.0,1,65.0,7.52
M Kaif,22,All-rounder,259,11.77,100.39,0,0.0,22,6,77,11.0,101.32,0,0.0,7,35.53,16.02
DS Lehmann,2,All-rounder,18,9.0,94.74,0,0.0,3,0,18,9.0,94.74,0,0.0,3,42.11,12.76
M Rawat,11,All-rounder,55,5.0,78.57,0,0.0,4,1,51,7.29,87.93,0,0.0,5,37.93,10.68
D Salunkhe,5,All-rounder,33,6.6,137.5,1,9.41,5,0,33,6.6,137.5,1,9.41,5,28.0,25.77
SK Warne,55,Bowler,198,3.6,90.41,57,7.19,14,6,14,1.08,45.16,7,5.96,1,41.84,34.49
SK Trivedi,76,Bowler,42,0.55,68.85,65,7.49,3,1,28,2.15,96.55,5,6.74,4,40.0,30.46
